"rank","stage","status","title","score","sales_priority","category","target_retail_min_jpy","target_retail_max_jpy","target_landed_cost_max_jpy","gross_profit_at_min_jpy","gross_margin_pct","pse_check","giteki_check","food_sanitation_check","trademark_supplier_check","next_action","japan_angle","risks","source","source_url","lp_headline","lp_risk","lp_faq_count","lp_image_count","sales_status","supplier_email","next_follow_up_at","follow_up_state","sales_note"
"11","scout","pending","Bruegel's Wearable Art: Enamel Pins, Pendants & Earrings","82","5","ファッション/アクセサリー","4980","14800","1743","3237","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Accessories","http://www.kicktraq.com/projects/pincognita/bruegels-wearable-art-artisan-pins-pendants-and-earrings/","","","0","0","未連絡","","","none",""
"12","scout","pending","Craftphilia: World's First Fully Automated Tufting Machine","82","5","工具/ホビー","39800","99800","13930","25870","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","通常の輸入/PL保険/商標確認","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/207408103/craftphilia-worlds-first-fully-automated-tufting-machine/","","","0","0","未連絡","","","none",""
"13","scout","pending","Critter Collector ITA Bag","82","5","ファッション/アクセサリー","4980","14800","1743","3237","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Accessories","http://www.kicktraq.com/projects/pawmegranart/critter-collector-ita-bag/","","","0","0","未連絡","","","none",""
"14","scout","pending","D1 Milano x Peter Tarka: The Impossible Watch","82","5","ファッション/アクセサリー","12800","39800","4480","8320","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Product Design","http://www.kicktraq.com/projects/840192188/d1-milano-x-peter-tarka-the-impossible-watch/","","","0","0","未連絡","","","none",""
"15","scout","pending","DUSQ - The World’s Only Sleep Regulation System","82","5","ウェルネス/睡眠","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","睡眠/デスク環境/ウェルネスの悩み解決軸で検証","通常の輸入/PL保険/商標確認","Kicktraq Wearables","http://www.kicktraq.com/projects/dusq/dusq-the-worlds-only-sleep-regulation-system/","","","0","0","未連絡","","","none",""
"16","scout","pending","ILC1/7 VFD clock large Soviet vacuum fluorescent display DIY","82","5","ガジェット/家電","12800","39800","4480","8320","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","通常の輸入/PL保険/商標確認","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/oscilloscopeclocks/ilc1-7-vfd-clock-large-soviet-vacuum-fluorescent-display-diy/","","","0","0","未連絡","","","none",""
"17","scout","pending","Kieslect AI NotePods 10S: Earbuds with AI Meeting Summaries","82","5","ガジェット/家電","12800","39800","4480","8320","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Wearables","http://www.kicktraq.com/projects/kieslect/kieslect-ai-notepods-10s-earbuds-with-ai-meeting-summaries/","","","0","0","未連絡","","","none",""
"18","scout","pending","Kinderbox – The Smart Audio Box for Children","82","5","生活改善プロダクト","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","通常の輸入/PL保険/商標確認","Kicktraq Gadgets","http://www.kicktraq.com/projects/kinderbox/kinderbox-the-smart-audio-box-for-children/","","","0","0","未連絡","","","none",""
"19","scout","pending","Lemoreleexpand: View Dock with Real-Time Status Display","82","5","ガジェット/家電","12800","39800","4480","8320","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","通常の輸入/PL保険/商標確認","Kicktraq Hardware","http://www.kicktraq.com/projects/1193373437/lemoreleexpand-smart-dock-with-real-time-status-display/","","","0","0","未連絡","","","none",""
"20","scout","pending","MorningBlues SonicGlass A1 — Floating Lyric Speaker","82","5","ガジェット/家電","12800","39800","4480","8320","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Product Design","http://www.kicktraq.com/projects/morningblues/morningblues-sonicglass-a1-floating-lyric-speaker/","","","0","0","未連絡","","","none",""
"21","scout","pending","OFFROAD 35","82","5","生活改善プロダクト","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Accessories","http://www.kicktraq.com/projects/theurbansociety/offroad-35/","","","0","0","未連絡","","","none",""
"22","scout","pending","Pest Memo: The Smart Bed Bug Detector That Gives Back","82","5","生活改善プロダクト","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","通常の輸入/PL保険/商標確認","Kicktraq Hardware","http://www.kicktraq.com/projects/pestmemo/pest-memo-the-smart-bed-bug-detector-that-gives-back/","","","0","0","未連絡","","","none",""
"23","scout","pending","PlantSenso — Turns plant care into play","82","5","生活改善プロダクト","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","通常の輸入/PL保険/商標確認","Kicktraq Gadgets","http://www.kicktraq.com/projects/sensoplantsensor/senso-smart-and-gamified-plant-sensor/","","","0","0","未連絡","","","none",""
"24","scout","pending","Rokibot G7: Ultimate AWD Robotic Mower for Challenging Lawns","82","5","工具/ホビー","39800","99800","13930","25870","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Hardware","http://www.kicktraq.com/projects/313444523/rokibot-ultimate-awd-robotic-mower-for-challenging-lawns/","","","0","0","未連絡","","","none",""
"25","scout","pending","Smart Joystick Controller -ESP32-S3 for Robotics & Gaming","82","5","ガジェット/家電","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","通常の輸入/PL保険/商標確認","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/open-gadgets/smart-joystick-controller/","","","0","0","未連絡","","","none",""
"26","scout","pending","Sou: Jewelry Wearable For Effortless Presence & Calm","82","5","ウェルネス/睡眠","8800","24800","3080","5720","65","","","required","recommended","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","食品衛生法・材質表示を確認","Kicktraq Wearables","http://www.kicktraq.com/projects/hannes-sou/sou-jewelry-wearable-for-effortless-presence-and-calm/","","","0","0","未連絡","","","none",""
"27","scout","pending","StrokeKeeper: Your Golf Score Made Easy","82","5","生活改善プロダクト","8800","24800","3080","5720","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","通常の輸入/PL保険/商標確認","Kicktraq Wearables","http://www.kicktraq.com/projects/strokekeeper/strokekeeper-your-golf-score-made-easy/","","","0","0","未連絡","","","none",""
"28","scout","pending","Sychedelic Headphones: From Stress to Focus In Minutes","82","5","ウェルネス/睡眠","12800","39800","4480","8320","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","睡眠/デスク環境/ウェルネスの悩み解決軸で検証","通常の輸入/PL保険/商標確認","Kicktraq Wearables","http://www.kicktraq.com/projects/riarus/sychedelic-neuroacoustic-headphones/","","","0","0","未連絡","","","none",""
"29","scout","pending","Vimow: Wire-Free Vision AI Robot Lawn Mower","82","5","ガジェット/家電","39800","99800","13930","25870","65","","","","required","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","通常の輸入/PL保険/商標確認","Kicktraq Product Design","http://www.kicktraq.com/projects/vimow/vimow-the-boundary-free-visionary-mower/","","","0","0","未連絡","","","none",""
"30","scout","pending","The AI Music Device That Finally Asked Artists First","62","6","生活改善プロダクト","8800","24800","3080","5720","65","","","","recommended","メーカー連絡先、日本販売権、卸条件、サンプル可否を確認","国内クラファンに類似なし（中立 0.3）","","Yanko Design","https://www.yankodesign.com/2026/06/19/the-ai-music-device-that-finally-asked-artists-first/?utm_source=rss&utm_medium=rss&utm_campaign=the-ai-music-device-that-finally-asked-artists-first","","","0","0","未連絡","","","none",""
