"rank","task_priority","task_type","task_action","title","score","sales_priority","stage","product_status","sales_status","follow_up_state","next_follow_up_at","supplier_email","contact_lookup_hint","source","source_url","next_action","japan_angle","required_checks","ja_subject","en_subject","sales_note"
"11","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Bruegel's Wearable Art: Enamel Pins, Pendants & Earrings","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Accessories","http://www.kicktraq.com/projects/pincognita/bruegels-wearable-art-artisan-pins-pendants-and-earrings/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Bruegel's Wearable Art: Enamel Pins, Pendants & Earrings のMakuake販売について","Japan Launch Opportunity for Bruegel's Wearable Art: Enamel Pins, Pendants & Earrings",""
"12","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Craftphilia: World's First Fully Automated Tufting Machine","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/207408103/craftphilia-worlds-first-fully-automated-tufting-machine/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Craftphilia: World's First Fully Automated Tufting Machine のMakuake販売について","Japan Launch Opportunity for Craftphilia: World's First Fully Automated Tufting Machine",""
"13","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Critter Collector ITA Bag","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Accessories","http://www.kicktraq.com/projects/pawmegranart/critter-collector-ita-bag/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Critter Collector ITA Bag のMakuake販売について","Japan Launch Opportunity for Critter Collector ITA Bag",""
"14","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","D1 Milano x Peter Tarka: The Impossible Watch","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Product Design","http://www.kicktraq.com/projects/840192188/d1-milano-x-peter-tarka-the-impossible-watch/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】D1 Milano x Peter Tarka: The Impossible Watch のMakuake販売について","Japan Launch Opportunity for D1 Milano x Peter Tarka: The Impossible Watch",""
"15","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","DUSQ - The World’s Only Sleep Regulation System","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Wearables","http://www.kicktraq.com/projects/dusq/dusq-the-worlds-only-sleep-regulation-system/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","睡眠/デスク環境/ウェルネスの悩み解決軸で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】DUSQ - The World’s Only Sleep Regulation System のMakuake販売について","Japan Launch Opportunity for DUSQ - The World’s Only Sleep Regulation System",""
"16","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","ILC1/7 VFD clock large Soviet vacuum fluorescent display DIY","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/oscilloscopeclocks/ilc1-7-vfd-clock-large-soviet-vacuum-fluorescent-display-diy/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】ILC1/7 VFD clock large Soviet vacuum fluorescent display DIY のMakuake販売について","Japan Launch Opportunity for ILC1/7 VFD clock large Soviet vacuum fluorescent display DIY",""
"17","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Kieslect AI NotePods 10S: Earbuds with AI Meeting Summaries","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Wearables","http://www.kicktraq.com/projects/kieslect/kieslect-ai-notepods-10s-earbuds-with-ai-meeting-summaries/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Kieslect AI NotePods 10S: Earbuds with AI Meeting Summaries のMakuake販売について","Japan Launch Opportunity for Kieslect AI NotePods 10S: Earbuds with AI Meeting Summaries",""
"18","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Kinderbox – The Smart Audio Box for Children","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Gadgets","http://www.kicktraq.com/projects/kinderbox/kinderbox-the-smart-audio-box-for-children/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Kinderbox – The Smart Audio Box for Children のMakuake販売について","Japan Launch Opportunity for Kinderbox – The Smart Audio Box for Children",""
"19","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Lemoreleexpand: View Dock with Real-Time Status Display","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Hardware","http://www.kicktraq.com/projects/1193373437/lemoreleexpand-smart-dock-with-real-time-status-display/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Lemoreleexpand: View Dock with Real-Time Status Display のMakuake販売について","Japan Launch Opportunity for Lemoreleexpand: View Dock with Real-Time Status Display",""
"20","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","MorningBlues SonicGlass A1 — Floating Lyric Speaker","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Product Design","http://www.kicktraq.com/projects/morningblues/morningblues-sonicglass-a1-floating-lyric-speaker/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】MorningBlues SonicGlass A1 — Floating Lyric Speaker のMakuake販売について","Japan Launch Opportunity for MorningBlues SonicGlass A1 — Floating Lyric Speaker",""
"21","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","OFFROAD 35","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Accessories","http://www.kicktraq.com/projects/theurbansociety/offroad-35/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】OFFROAD 35 のMakuake販売について","Japan Launch Opportunity for OFFROAD 35",""
"22","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Pest Memo: The Smart Bed Bug Detector That Gives Back","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Hardware","http://www.kicktraq.com/projects/pestmemo/pest-memo-the-smart-bed-bug-detector-that-gives-back/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Pest Memo: The Smart Bed Bug Detector That Gives Back のMakuake販売について","Japan Launch Opportunity for Pest Memo: The Smart Bed Bug Detector That Gives Back",""
"23","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","PlantSenso — Turns plant care into play","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Gadgets","http://www.kicktraq.com/projects/sensoplantsensor/senso-smart-and-gamified-plant-sensor/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】PlantSenso — Turns plant care into play のMakuake販売について","Japan Launch Opportunity for PlantSenso — Turns plant care into play",""
"24","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Rokibot G7: Ultimate AWD Robotic Mower for Challenging Lawns","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Hardware","http://www.kicktraq.com/projects/313444523/rokibot-ultimate-awd-robotic-mower-for-challenging-lawns/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Rokibot G7: Ultimate AWD Robotic Mower for Challenging Lawns のMakuake販売について","Japan Launch Opportunity for Rokibot G7: Ultimate AWD Robotic Mower for Challenging Lawns",""
"25","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Smart Joystick Controller -ESP32-S3 for Robotics & Gaming","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/open-gadgets/smart-joystick-controller/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Smart Joystick Controller -ESP32-S3 for Robotics & Gaming のMakuake販売について","Japan Launch Opportunity for Smart Joystick Controller -ESP32-S3 for Robotics & Gaming",""
"26","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Sou: Jewelry Wearable For Effortless Presence & Calm","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Wearables","http://www.kicktraq.com/projects/hannes-sou/sou-jewelry-wearable-for-effortless-presence-and-calm/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 食品接触材質 / 検査証明 / 材質表示 / 商標登録/日本代理店の有無","【日本展開のご相談】Sou: Jewelry Wearable For Effortless Presence & Calm のMakuake販売について","Japan Launch Opportunity for Sou: Jewelry Wearable For Effortless Presence & Calm",""
"27","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","StrokeKeeper: Your Golf Score Made Easy","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Wearables","http://www.kicktraq.com/projects/strokekeeper/strokekeeper-your-golf-score-made-easy/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","Makuake類似成功例、Amazon JP競合、仕入れ可否を優先確認","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】StrokeKeeper: Your Golf Score Made Easy のMakuake販売について","Japan Launch Opportunity for StrokeKeeper: Your Golf Score Made Easy",""
"28","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Sychedelic Headphones: From Stress to Focus In Minutes","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Wearables","http://www.kicktraq.com/projects/riarus/sychedelic-neuroacoustic-headphones/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","睡眠/デスク環境/ウェルネスの悩み解決軸で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Sychedelic Headphones: From Stress to Focus In Minutes のMakuake販売について","Japan Launch Opportunity for Sychedelic Headphones: From Stress to Focus In Minutes",""
"29","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Twelvetooo Smart Projection Bulb: Light & Motion Anywhere","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Gadgets","http://www.kicktraq.com/projects/twelvetooo/twelvetooo-smart-projection-bulb-light-and-motion-anywhere/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Twelvetooo Smart Projection Bulb: Light & Motion Anywhere のMakuake販売について","Japan Launch Opportunity for Twelvetooo Smart Projection Bulb: Light & Motion Anywhere",""
"30","通常","初回連絡","連絡先を特定し、日本語/英語の初回打診メールを送る。","Vimow: Wire-Free Vision AI Robot Lawn Mower","82","5","scout","pending","未連絡","none","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","Kicktraq Product Design","http://www.kicktraq.com/projects/vimow/vimow-the-boundary-free-visionary-mower/","Makuake/楽天/Amazon JP類似、卸条件、商標を確認","ガジェット好き・クリエイター・仕事効率化層で検証","卸価格/希望小売価格 / MOQ / サンプル提供可否 / 量産リードタイム / 日本での販売権/独占可否 / 商品画像・動画の利用許諾 / 保証/初期不良対応条件 / 商標登録/日本代理店の有無","【日本展開のご相談】Vimow: Wire-Free Vision AI Robot Lawn Mower のMakuake販売について","Japan Launch Opportunity for Vimow: Wire-Free Vision AI Robot Lawn Mower",""
