"rank","title","score","stage","source","source_url","fetch_status","primary_contact_type","primary_contact","emails","contact_pages","official_sites","crowdfunding_links","social_links","external_links","contact_lookup_hint","ja_subject","en_subject","next_action"
"11","Bruegel's Wearable Art: Enamel Pins, Pendants & Earrings","82","scout","Kicktraq Accessories","http://www.kicktraq.com/projects/pincognita/bruegels-wearable-art-artisan-pins-pendants-and-earrings/","ok:200","crowdfunding","https://www.kickstarter.com/profile/pincognita","","","","https://www.kickstarter.com/profile/pincognita / https://www.kickstarter.com/projects/pincognita/bruegels-wearable-art-artisan-pins-pendants-and-earrings/creator_bio / http://kickstarter.com/projects/pincognita/bruegels-wearable-art-artisan-pins-pendants-and-earrings","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Bruegel's Wearable Art: Enamel Pins, Pendants & Earrings のMakuake販売について","Japan Launch Opportunity for Bruegel's Wearable Art: Enamel Pins, Pendants & Earrings","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"12","Craftphilia: World's First Fully Automated Tufting Machine","82","scout","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/207408103/craftphilia-worlds-first-fully-automated-tufting-machine/","ok:200","crowdfunding","https://www.kickstarter.com/profile/207408103","","","","https://www.kickstarter.com/profile/207408103 / https://www.kickstarter.com/projects/207408103/craftphilia-worlds-first-fully-automated-tufting-machine/creator_bio / http://kickstarter.com/projects/207408103/craftphilia-worlds-first-fully-automated-tufting-machine / https://www.kickstarter.com/projects/207408103/craftphilia-worlds-first-fully-automated-tufting-machine/posts/4720756","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Craftphilia: World's First Fully Automated Tufting Machine のMakuake販売について","Japan Launch Opportunity for Craftphilia: World's First Fully Automated Tufting Machine","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"13","Critter Collector ITA Bag","82","scout","Kicktraq Accessories","http://www.kicktraq.com/projects/pawmegranart/critter-collector-ita-bag/","ok:200","crowdfunding","https://www.kickstarter.com/profile/pawmegranart","","","","https://www.kickstarter.com/profile/pawmegranart / https://www.kickstarter.com/projects/pawmegranart/critter-collector-ita-bag/creator_bio / http://kickstarter.com/projects/pawmegranart/critter-collector-ita-bag","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Critter Collector ITA Bag のMakuake販売について","Japan Launch Opportunity for Critter Collector ITA Bag","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"14","D1 Milano x Peter Tarka: The Impossible Watch","82","scout","Kicktraq Product Design","http://www.kicktraq.com/projects/840192188/d1-milano-x-peter-tarka-the-impossible-watch/","ok:200","crowdfunding","https://www.kickstarter.com/profile/840192188","","","","https://www.kickstarter.com/profile/840192188 / https://www.kickstarter.com/projects/840192188/d1-milano-x-peter-tarka-the-impossible-watch/creator_bio / http://kickstarter.com/projects/840192188/d1-milano-x-peter-tarka-the-impossible-watch / https://www.kickstarter.com/projects/840192188/d1-milano-x-peter-tarka-the-impossible-watch/posts/4722493","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】D1 Milano x Peter Tarka: The Impossible Watch のMakuake販売について","Japan Launch Opportunity for D1 Milano x Peter Tarka: The Impossible Watch","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"15","DUSQ - The World’s Only Sleep Regulation System","82","scout","Kicktraq Wearables","http://www.kicktraq.com/projects/dusq/dusq-the-worlds-only-sleep-regulation-system/","ok:200","crowdfunding","https://www.kickstarter.com/profile/dusq","","","","https://www.kickstarter.com/profile/dusq / https://www.kickstarter.com/projects/dusq/dusq-the-worlds-only-sleep-regulation-system/creator_bio / http://kickstarter.com/projects/dusq/dusq-the-worlds-only-sleep-regulation-system / https://www.kickstarter.com/projects/dusq/dusq-the-worlds-only-sleep-regulation-system/posts/4707287","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】DUSQ - The World’s Only Sleep Regulation System のMakuake販売について","Japan Launch Opportunity for DUSQ - The World’s Only Sleep Regulation System","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"16","ILC1/7 VFD clock large Soviet vacuum fluorescent display DIY","82","scout","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/oscilloscopeclocks/ilc1-7-vfd-clock-large-soviet-vacuum-fluorescent-display-diy/","ok:200","crowdfunding","https://www.kickstarter.com/profile/oscilloscopeclocks","","","","https://www.kickstarter.com/profile/oscilloscopeclocks / https://www.kickstarter.com/projects/oscilloscopeclocks/ilc1-7-vfd-clock-large-soviet-vacuum-fluorescent-display-diy/creator_bio / http://kickstarter.com/projects/oscilloscopeclocks/ilc1-7-vfd-clock-large-soviet-vacuum-fluorescent-display-diy / https://www.kickstarter.com/projects/oscilloscopeclocks/ilc1-7-vfd-clock-large-soviet-vacuum-fluorescent-display-diy/posts/4723201","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】ILC1/7 VFD clock large Soviet vacuum fluorescent display DIY のMakuake販売について","Japan Launch Opportunity for ILC1/7 VFD clock large Soviet vacuum fluorescent display DIY","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"17","Kieslect AI NotePods 10S: Earbuds with AI Meeting Summaries","82","scout","Kicktraq Wearables","http://www.kicktraq.com/projects/kieslect/kieslect-ai-notepods-10s-earbuds-with-ai-meeting-summaries/","ok:200","crowdfunding","https://www.kickstarter.com/profile/kieslect","","","","https://www.kickstarter.com/profile/kieslect / https://www.kickstarter.com/projects/kieslect/kieslect-ai-notepods-10s-earbuds-with-ai-meeting-summaries/creator_bio / http://kickstarter.com/projects/kieslect/kieslect-ai-notepods-10s-earbuds-with-ai-meeting-summaries","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Kieslect AI NotePods 10S: Earbuds with AI Meeting Summaries のMakuake販売について","Japan Launch Opportunity for Kieslect AI NotePods 10S: Earbuds with AI Meeting Summaries","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"18","Kinderbox – The Smart Audio Box for Children","82","scout","Kicktraq Gadgets","http://www.kicktraq.com/projects/kinderbox/kinderbox-the-smart-audio-box-for-children/","ok:200","crowdfunding","https://www.kickstarter.com/profile/kinderbox","","","","https://www.kickstarter.com/profile/kinderbox / https://www.kickstarter.com/projects/kinderbox/kinderbox-the-smart-audio-box-for-children/creator_bio / http://kickstarter.com/projects/kinderbox/kinderbox-the-smart-audio-box-for-children","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Kinderbox – The Smart Audio Box for Children のMakuake販売について","Japan Launch Opportunity for Kinderbox – The Smart Audio Box for Children","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"19","Lemoreleexpand: View Dock with Real-Time Status Display","82","scout","Kicktraq Hardware","http://www.kicktraq.com/projects/1193373437/lemoreleexpand-smart-dock-with-real-time-status-display/","ok:200","email","lemoreleexpand@outlook.com","lemoreleexpand@outlook.com","","","https://www.kickstarter.com/profile/1193373437 / https://www.kickstarter.com/projects/1193373437/lemoreleexpand-smart-dock-with-real-time-status-display/creator_bio / http://kickstarter.com/projects/1193373437/lemoreleexpand-smart-dock-with-real-time-status-display / https://www.kickstarter.com/projects/1193373437/lemoreleexpand-smart-dock-with-real-time-status-display/posts/4722458","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Lemoreleexpand: View Dock with Real-Time Status Display のMakuake販売について","Japan Launch Opportunity for Lemoreleexpand: View Dock with Real-Time Status Display","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"20","MorningBlues SonicGlass A1 — Floating Lyric Speaker","82","scout","Kicktraq Product Design","http://www.kicktraq.com/projects/morningblues/morningblues-sonicglass-a1-floating-lyric-speaker/","ok:200","crowdfunding","https://www.kickstarter.com/profile/morningblues","","","","https://www.kickstarter.com/profile/morningblues / https://www.kickstarter.com/projects/morningblues/morningblues-sonicglass-a1-floating-lyric-speaker/creator_bio / http://kickstarter.com/projects/morningblues/morningblues-sonicglass-a1-floating-lyric-speaker / https://www.kickstarter.com/projects/morningblues/morningblues-sonicglass-a1-floating-lyric-speaker/posts/4722837","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】MorningBlues SonicGlass A1 — Floating Lyric Speaker のMakuake販売について","Japan Launch Opportunity for MorningBlues SonicGlass A1 — Floating Lyric Speaker","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"21","OFFROAD 35","82","scout","Kicktraq Accessories","http://www.kicktraq.com/projects/theurbansociety/offroad-35/","ok:200","crowdfunding","https://www.kickstarter.com/profile/theurbansociety","","","","https://www.kickstarter.com/profile/theurbansociety / https://www.kickstarter.com/projects/theurbansociety/offroad-35/creator_bio / http://kickstarter.com/projects/theurbansociety/offroad-35","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】OFFROAD 35 のMakuake販売について","Japan Launch Opportunity for OFFROAD 35","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"22","Pest Memo: The Smart Bed Bug Detector That Gives Back","82","scout","Kicktraq Hardware","http://www.kicktraq.com/projects/pestmemo/pest-memo-the-smart-bed-bug-detector-that-gives-back/","ok:200","crowdfunding","https://www.kickstarter.com/profile/pestmemo","","","","https://www.kickstarter.com/profile/pestmemo / https://www.kickstarter.com/projects/pestmemo/pest-memo-the-smart-bed-bug-detector-that-gives-back/creator_bio / http://kickstarter.com/projects/pestmemo/pest-memo-the-smart-bed-bug-detector-that-gives-back / https://www.kickstarter.com/projects/pestmemo/pest-memo-the-smart-bed-bug-detector-that-gives-back/posts/4720665","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Pest Memo: The Smart Bed Bug Detector That Gives Back のMakuake販売について","Japan Launch Opportunity for Pest Memo: The Smart Bed Bug Detector That Gives Back","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"23","PlantSenso — Turns plant care into play","82","scout","Kicktraq Gadgets","http://www.kicktraq.com/projects/sensoplantsensor/senso-smart-and-gamified-plant-sensor/","ok:200","crowdfunding","https://www.kickstarter.com/profile/sensoplantsensor","","","","https://www.kickstarter.com/profile/sensoplantsensor / https://www.kickstarter.com/projects/sensoplantsensor/senso-smart-and-gamified-plant-sensor/creator_bio / http://kickstarter.com/projects/sensoplantsensor/senso-smart-and-gamified-plant-sensor / https://www.kickstarter.com/projects/sensoplantsensor/senso-smart-and-gamified-plant-sensor/posts/4714212 / https://www.kickstarter.com/projects/sensoplantsensor/senso-smart-and-gamified-plant-sensor/posts/4722590","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】PlantSenso — Turns plant care into play のMakuake販売について","Japan Launch Opportunity for PlantSenso — Turns plant care into play","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"24","Rokibot G7: Ultimate AWD Robotic Mower for Challenging Lawns","82","scout","Kicktraq Hardware","http://www.kicktraq.com/projects/313444523/rokibot-ultimate-awd-robotic-mower-for-challenging-lawns/","ok:200","crowdfunding","https://www.kickstarter.com/profile/313444523","","","","https://www.kickstarter.com/profile/313444523 / https://www.kickstarter.com/projects/313444523/rokibot-ultimate-awd-robotic-mower-for-challenging-lawns/creator_bio / http://kickstarter.com/projects/313444523/rokibot-ultimate-awd-robotic-mower-for-challenging-lawns / https://www.kickstarter.com/projects/313444523/rokibot-ultimate-awd-robotic-mower-for-challenging-lawns/posts/4717586","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Rokibot G7: Ultimate AWD Robotic Mower for Challenging Lawns のMakuake販売について","Japan Launch Opportunity for Rokibot G7: Ultimate AWD Robotic Mower for Challenging Lawns","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"25","Smart Joystick Controller -ESP32-S3 for Robotics & Gaming","82","scout","Kicktraq DIY Electronics","http://www.kicktraq.com/projects/open-gadgets/smart-joystick-controller/","ok:200","crowdfunding","https://www.kickstarter.com/profile/open-gadgets","","","","https://www.kickstarter.com/profile/open-gadgets / https://www.kickstarter.com/projects/open-gadgets/smart-joystick-controller/creator_bio / http://kickstarter.com/projects/open-gadgets/smart-joystick-controller","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Smart Joystick Controller -ESP32-S3 for Robotics & Gaming のMakuake販売について","Japan Launch Opportunity for Smart Joystick Controller -ESP32-S3 for Robotics & Gaming","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"26","Sou: Jewelry Wearable For Effortless Presence & Calm","82","scout","Kicktraq Wearables","http://www.kicktraq.com/projects/hannes-sou/sou-jewelry-wearable-for-effortless-presence-and-calm/","ok:200","crowdfunding","https://www.kickstarter.com/profile/hannes-sou","","","","https://www.kickstarter.com/profile/hannes-sou / https://www.kickstarter.com/projects/hannes-sou/sou-jewelry-wearable-for-effortless-presence-and-calm/creator_bio / http://kickstarter.com/projects/hannes-sou/sou-jewelry-wearable-for-effortless-presence-and-calm","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Sou: Jewelry Wearable For Effortless Presence & Calm のMakuake販売について","Japan Launch Opportunity for Sou: Jewelry Wearable For Effortless Presence & Calm","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"27","StrokeKeeper: Your Golf Score Made Easy","82","scout","Kicktraq Wearables","http://www.kicktraq.com/projects/strokekeeper/strokekeeper-your-golf-score-made-easy/","ok:200","crowdfunding","https://www.kickstarter.com/profile/strokekeeper","","","","https://www.kickstarter.com/profile/strokekeeper / https://www.kickstarter.com/projects/strokekeeper/strokekeeper-your-golf-score-made-easy/creator_bio / http://kickstarter.com/projects/strokekeeper/strokekeeper-your-golf-score-made-easy / https://www.kickstarter.com/projects/strokekeeper/strokekeeper-your-golf-score-made-easy/posts/4721798","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】StrokeKeeper: Your Golf Score Made Easy のMakuake販売について","Japan Launch Opportunity for StrokeKeeper: Your Golf Score Made Easy","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"28","Sychedelic Headphones: From Stress to Focus In Minutes","82","scout","Kicktraq Wearables","http://www.kicktraq.com/projects/riarus/sychedelic-neuroacoustic-headphones/","ok:200","crowdfunding","https://www.kickstarter.com/profile/riarus","","","","https://www.kickstarter.com/profile/riarus / https://www.kickstarter.com/projects/riarus/sychedelic-neuroacoustic-headphones/creator_bio / http://kickstarter.com/projects/riarus/sychedelic-neuroacoustic-headphones / https://www.kickstarter.com/projects/riarus/sychedelic-neuroacoustic-headphones/posts/4709506 / https://www.kickstarter.com/projects/riarus/sychedelic-neuroacoustic-headphones/posts/4715543 / https://www.kickstarter.com/projects/riarus/sychedelic-neuroacoustic-headphones/posts/4715549 / https://www.kickstarter.com/projects/riarus/sychedelic-neuroacoustic-headphones/posts/4721938","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Sychedelic Headphones: From Stress to Focus In Minutes のMakuake販売について","Japan Launch Opportunity for Sychedelic Headphones: From Stress to Focus In Minutes","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"29","Vimow: Wire-Free Vision AI Robot Lawn Mower","82","scout","Kicktraq Product Design","http://www.kicktraq.com/projects/vimow/vimow-the-boundary-free-visionary-mower/","ok:200","crowdfunding","https://www.kickstarter.com/profile/vimow","","","","https://www.kickstarter.com/profile/vimow / https://www.kickstarter.com/projects/vimow/vimow-the-boundary-free-visionary-mower/creator_bio / http://kickstarter.com/projects/vimow/vimow-the-boundary-free-visionary-mower","","","Kicktraqの商品ページからKickstarter本体へ遷移し、Creator profile / campaign contact / official site / Instagramを確認","【日本展開のご相談】Vimow: Wire-Free Vision AI Robot Lawn Mower のMakuake販売について","Japan Launch Opportunity for Vimow: Wire-Free Vision AI Robot Lawn Mower","Makuake/楽天/Amazon JP類似、卸条件、商標を確認"
"30","The AI Music Device That Finally Asked Artists First","62","scout","Yanko Design","https://www.yankodesign.com/2026/06/19/the-ai-music-device-that-finally-asked-artists-first/?utm_source=rss&utm_medium=rss&utm_campaign=the-ai-music-device-that-finally-asked-artists-first","ok:200","official_site","https://bit.ly/358A9kJ","","","https://bit.ly/358A9kJ","","","","Yanko Design記事内のブランド名・公式サイト・掲載元リンクからメーカー連絡先を確認","【日本展開のご相談】The AI Music Device That Finally Asked Artists First のMakuake販売について","Japan Launch Opportunity for The AI Music Device That Finally Asked Artists First","メーカー連絡先、日本販売権、卸条件、サンプル可否を確認"
